Location,Fuel_Type,Transmission,Owner_Type,Seats,Price,mileage_new,engine_new,power_new,age,make,model,KM_Driven
Hyderabad,Petrol,Manual,First,5,3.5,24.07,998,67.1,4,maruti,alto,10
Kochi,Petrol,Manual,First,5,4.26,19.49,1198,67.04,4,nissan,micra,49
Chennai,Petrol,Automatic,Second,5,4.25,23.1,998,67.04,4,maruti,celerio,12
Chennai,Diesel,Manual,First,5,3.5,23.5,1498,88.7,7,ford,fiesta,177
Chennai,Petrol,Automatic,Third,5,3.25,15,1396,100,11,hyundai,i20,72
Chennai,Petrol,Manual,First,5,4.9,17.5,1298,85.8,8,maruti,swift,49
Kochi,Petrol,Manual,First,5,8.91,18.6,1197,81.86,3,hyundai,elite,13
Pune,Petrol,Manual,First,5,2,19,998,66.1,9,maruti,a-star,70
Kolkata,Diesel,Manual,First,5,2.4,23.08,1461,63.1,8,nissan,micra,32
Pune,Petrol,Manual,First,4,1.2,25.4,624,37.48,7,tata,nano,4
Delhi,Diesel,Manual,First,5,2.9,23.4,1248,74,6,maruti,swift,71
Chennai,Diesel,Manual,First,5,7.5,25.8,1498,98.6,4,honda,amaze,15
Hyderabad,Diesel,Manual,First,5,3.39,23.2,1248,73.94,8,maruti,ritz,85
Chennai,Diesel,Manual,First,5,6.85,28.09,1248,88.5,6,maruti,ciaz,45
Chennai,Diesel,Manual,Second,5,2,25,1396,69,5,tata,indica,100
Jaipur,Petrol,Manual,First,4,0.9,16.1,796,37,14,maruti,800,165
Kolkata,Petrol,Manual,First,5,3.8,16.47,1198,74,5,volkswagen,polo,22
Coimbatore,Petrol,Manual,First,5,8.7,21.4,1197,83.1,1,maruti,baleno,17
Mumbai,Petrol,Manual,First,5,6.1,21.4,1197,83.1,4,maruti,baleno,12
Delhi,Petrol,Manual,First,5,2.65,20.92,998,67.1,5,maruti,alto,51
Kochi,Petrol,Manual,First,5,5.27,20.4,1197,81.8,3,maruti,swift,42
Kolkata,Diesel,Manual,First,5,2.48,22.1,1248,74,6,chevrolet,sail,45
Kolkata,Diesel,Manual,First,5,2.95,23,1396,90,9,hyundai,i20,37
Mumbai,Diesel,Manual,Second,5,2.65,21.02,1248,88.76,7,tata,manza,64
Mumbai,Petrol,Manual,First,5,3.25,21.1,1197,85.8,6,maruti,ritz,33
Kolkata,Petrol,Manual,First,5,5,17.57,1193,88.7,5,tata,zest,7
Pune,Petrol,Manual,Second,5,1.95,19,998,66.1,9,maruti,a-star,69
Delhi,Petrol,Manual,First,5,5.5,17,1197,80,6,hyundai,i20,42
Hyderabad,Diesel,Manual,First,5,7.79,27.39,1248,74,4,maruti,baleno,30
Kochi,Diesel,Manual,First,7,8.27,20.77,1248,88.76,3,maruti,ertiga,43
Delhi,Diesel,Manual,First,5,3.95,23.4,1248,74,7,maruti,swift,72
Delhi,Petrol,Manual,First,5,4.25,17.5,1298,85.8,7,maruti,swift,40
Kochi,Petrol,Manual,First,5,6.17,18.7,1199,88.7,2,honda,jazz,38
Hyderabad,Diesel,Automatic,First,5,9.15,28.4,1248,73.75,3,maruti,dzire,28
Pune,Diesel,Manual,First,5,4.5,21.64,1461,84.8,6,nissan,sunny,95
Coimbatore,Petrol,Manual,First,5,5.37,19.4,1198,86.8,4,honda,brio,14
Chennai,Diesel,Manual,First,5,7.7,23,1498,98.96,4,ford,ecosport,29
Chennai,Petrol,Manual,First,5,3,20.36,1197,78.9,8,hyundai,i10,49
Coimbatore,Diesel,Manual,First,5,6.69,20.65,1248,88.7,2,tata,zest,38
Delhi,Diesel,Manual,First,5,4.25,22.9,1248,74,6,maruti,swift,56
Hyderabad,Diesel,Manual,First,5,6.99,26,1498,98.6,6,honda,city,65
Chennai,Petrol,Manual,First,5,2.79,22.74,796,47.3,5,maruti,alto,21
Pune,Diesel,Manual,Second,5,2.9,21.12,1248,88.8,8,tata,manza,148
Coimbatore,Diesel,Manual,First,5,7.29,26.1,1498,99,3,ford,aspire,30
Hyderabad,Petrol,Manual,First,5,2.6,14,796,35,7,maruti,omni,34
Pune,Diesel,Manual,Second,5,3.1,21.03,1461,65,5,mahindra,verito,90
Kolkata,Diesel,Manual,First,5,3.5,23.4,1248,74,4,maruti,swift,100
Kolkata,Petrol,Manual,First,5,2.35,16.47,1198,73.9,9,volkswagen,polo,50
Coimbatore,Petrol,Manual,First,5,5.9,16.47,1198,74,6,volkswagen,polo,72
Hyderabad,Petrol,Manual,First,5,3.9,21.1,1197,85.8,8,maruti,ritz,68
Delhi,Diesel,Manual,First,5,7,26,1498,98.6,5,honda,city,33
Coimbatore,Petrol,Manual,First,5,7.23,17,1198,73.75,3,volkswagen,ameo,22
Mumbai,Diesel,Manual,First,5,3.81,21.5,1248,88.8,8,maruti,sx4,90
Chennai,Petrol,Manual,Third,5,4.5,18.6,1197,85.8,8,maruti,swift,42
Coimbatore,Petrol,Manual,First,5,2.96,19.7,796,46.3,10,maruti,alto,59
Kolkata,Diesel,Manual,First,5,3.25,25.8,1498,98.6,6,honda,amaze,36
Kochi,Petrol,Manual,First,5,3.08,18.9,998,67.1,9,maruti,wagon,36
Pune,Petrol,Manual,First,5,2.6,20.51,998,67.04,9,maruti,wagon,71
Kolkata,Diesel,Manual,First,5,3.85,24,1186,73.97,6,hyundai,grand,42
Bangalore,Petrol,Manual,First,5,5.75,18.9,1197,82,5,hyundai,grand,50
Mumbai,Petrol,Manual,Second,5,1.65,20.36,1197,78.9,12,hyundai,i10,62
Kochi,Petrol,Manual,First,5,3.02,18.9,1061,67,7,maruti,wagon,36
Coimbatore,Petrol,Manual,First,5,3.32,21.1,814,55.2,7,hyundai,eon,65
Delhi,Petrol,Manual,First,5,3.24,19.4,1198,86.8,7,honda,brio,33
Kolkata,Petrol,Manual,First,5,2.35,22.74,796,47.3,5,maruti,alto,11
Jaipur,Diesel,Manual,First,7,5.5,15.96,2523,62.1,7,mahindra,bolero,63
Pune,Petrol,Manual,First,5,5.45,22,1197,81.8,4,maruti,swift,27
Hyderabad,Petrol,Manual,Second,5,2.3,21.1,814,55.2,7,hyundai,eon,20
Kochi,Petrol,Manual,First,5,6.21,20.85,1197,83.14,5,maruti,swift,24
Coimbatore,Petrol,Automatic,First,5,5.21,19.34,1198,76,6,nissan,micra,47
Pune,Diesel,Manual,First,5,3.1,17.8,1248,75,10,maruti,swift,135
Kolkata,Diesel,Manual,First,5,4,20.14,1498,88.8,4,volkswagen,polo,29
Hyderabad,Petrol,Manual,First,4,1.3,16.1,796,37,9,maruti,800,83
Jaipur,Diesel,Manual,First,5,4.42,20.14,1498,88.8,6,volkswagen,polo,82
Kochi,Diesel,Manual,First,5,5.38,25.8,1498,98.6,5,honda,amaze,61
Chennai,Petrol,Manual,Second,5,3.25,17,1197,80,9,hyundai,i20,32
Jaipur,Petrol,Automatic,First,5,3.87,20.51,998,67,4,maruti,wagon,68
Mumbai,Petrol,Manual,First,5,9.28,20.73,1373,91.1,2,maruti,ciaz,32
Mumbai,Petrol,Manual,Second,5,1.15,15.26,1150,74.9,12,chevrolet,aveo,75
Kochi,Petrol,Manual,First,5,7.8,20.73,1373,91.2,4,maruti,ciaz,40
Hyderabad,Diesel,Manual,First,5,4.5,23,1396,90,8,hyundai,i20,60
Kochi,Petrol,Manual,First,5,7.56,18.7,1199,88.7,2,honda,jazz,18
Bangalore,Petrol,Manual,First,5,4.5,17,1197,80,8,hyundai,i20,52
Delhi,Petrol,Manual,First,5,2.2,19.81,1086,68.05,9,hyundai,i10,54
Bangalore,Petrol,Automatic,First,5,4,23.1,998,67.04,6,maruti,celerio,49
Kolkata,Diesel,Manual,First,5,2.51,20.86,1199,73.9,8,skoda,fabia,98
Delhi,Diesel,Manual,First,5,4.75,25.2,1248,74,5,maruti,swift,60
Pune,Petrol,Manual,Second,5,2,16,1086,66.7,12,hyundai,i10,68
Jaipur,Petrol,Manual,Second,5,2.1,20.36,1197,78.9,10,hyundai,i10,81
Ahmedabad,Diesel,Manual,First,5,6,25.2,1248,74,3,maruti,swift,49
Jaipur,Petrol,Manual,Second,4,0.45,16.1,796,37,16,maruti,800,12
Pune,Petrol,Manual,Third,5,2.5,16.1,1298,88.2,10,maruti,swift,54
Hyderabad,Petrol,Manual,First,5,1.6,13.8,1299,70,14,ford,ikon,27
Kochi,Diesel,Manual,First,5,7.54,22.7,1498,89.84,3,ford,ecosport,75
Kochi,Petrol,Manual,First,5,6.84,20.73,1373,91.1,5,maruti,ciaz,46
Pune,Diesel,Manual,First,5,8,27.3,1498,98.6,3,honda,jazz,27
Kochi,Diesel,Manual,First,5,5.5,24,1120,70,3,hyundai,grand,34
Jaipur,Petrol,Manual,Second,5,3,16.95,1498,97.7,9,nissan,sunny,42
Jaipur,Petrol,Manual,First,5,1.4,14.49,1399,92.7,14,chevrolet,aveo,100
Mumbai,Diesel,Manual,First,7,5.75,24.2,1498,98.6,6,honda,mobilio,57
Hyderabad,Diesel,Manual,First,5,3.4,21.1,1248,73.9,10,maruti,ritz,79
Coimbatore,Petrol,Manual,Second,5,4.89,16.47,1198,73.9,9,volkswagen,polo,44
Coimbatore,Petrol,Automatic,Second,5,3.49,16.98,998,66.1,7,maruti,a-star,60
Coimbatore,Petrol,Automatic,First,5,7.08,18.9,1197,82,3,hyundai,grand,23
Hyderabad,Diesel,Manual,First,5,6.75,23,1396,90,4,hyundai,i20,77
Hyderabad,Petrol,Automatic,First,5,2.99,16.4,1497,78,12,honda,city,56
Kolkata,Petrol,Manual,First,5,2.35,20.36,1197,78.9,7,hyundai,i10,21
Delhi,Diesel,Manual,First,5,3.65,25.8,1498,98.6,7,honda,amaze,89
Delhi,Petrol,Manual,Second,5,2.74,22.5,998,67.04,8,maruti,wagon,45
Jaipur,Petrol,Manual,First,5,3.5,19.4,1198,86.8,7,honda,brio,53
Kochi,Petrol,Manual,First,5,4.76,17,1197,80,6,hyundai,i20,55
Pune,Diesel,Manual,Second,5,2.35,18.7,1896,66,12,skoda,octavia,82
Hyderabad,Petrol,Manual,First,5,3.65,21.1,814,55.2,3,hyundai,eon,31
Coimbatore,Petrol,Manual,Second,5,6.26,18.6,1197,85.8,4,maruti,swift,18
Coimbatore,Petrol,Manual,First,5,7.8,18.6,1197,81.83,2,hyundai,i20,22
Bangalore,Petrol,Manual,First,5,4.25,19.4,1198,86.8,6,honda,brio,43
Kochi,Petrol,Manual,First,5,4.86,17.5,1298,85.8,6,maruti,swift,49
Delhi,Petrol,Manual,First,5,4.9,18.9,1197,81.86,3,hyundai,grand,12
Coimbatore,Petrol,Manual,First,5,3.22,24.07,998,67.1,9,maruti,alto,48
Kolkata,Diesel,Manual,First,5,3.25,22.07,1199,73.9,6,volkswagen,polo,30
Delhi,Petrol,Manual,First,5,4.53,18.9,1197,82,4,hyundai,grand,81
Chennai,Petrol,Manual,First,5,2.25,15.7,1172,67,10,fiat,punto,72
Pune,Diesel,Manual,Second,8,8,12.99,2494,100,9,toyota,innova,156
Kochi,Diesel,Automatic,First,7,8.37,18.49,1493,100,3,mahindra,tuv,47
Coimbatore,Diesel,Manual,First,5,5.39,20.14,1498,88.8,5,volkswagen,polo,61
Kochi,Petrol,Manual,First,5,6.03,18.9,1197,81.86,2,hyundai,grand,10
Chennai,Petrol,Automatic,First,5,3.96,16.95,1197,78.9,7,hyundai,i10,21
Hyderabad,Diesel,Manual,First,5,4.6,23,1396,90,9,hyundai,i20,113
Mumbai,Petrol,Manual,First,5,3.25,19.4,1198,86.8,7,honda,brio,63
Jaipur,Petrol,Manual,First,5,6.25,18.6,1197,81.83,3,hyundai,i20,58
Pune,Petrol,Automatic,First,5,7.8,19,1199,88.76,2,honda,amaze,1
Kochi,Petrol,Manual,First,5,3.7,19.81,1086,68.05,7,hyundai,i10,34
Hyderabad,Petrol,Manual,First,5,4,17,1197,80,8,hyundai,i20,58
Kochi,Petrol,Manual,First,5,5.44,20.4,1197,81.8,3,maruti,swift,37
Delhi,Petrol,Automatic,First,5,6.2,21.4,1197,83.1,3,maruti,baleno,44
Kolkata,Petrol,Manual,First,5,0.9,13.2,1495,94,15,hyundai,accent,45
Mumbai,Petrol,Manual,First,5,3.95,18.5,1197,85.8,4,maruti,ritz,11
Pune,Petrol,Manual,Second,4,0.44,26,624,35,9,tata,nano,65
Ahmedabad,Diesel,Manual,First,5,2.75,20,1399,68,8,ford,figo,55
Chennai,Diesel,Manual,Second,5,2.5,19,1248,93,10,fiat,linea,160
Hyderabad,Diesel,Manual,First,7,5,14.95,2489,93.7,5,mahindra,xylo,169
Hyderabad,Petrol,Manual,First,5,3.6,18.9,998,67.1,7,maruti,wagon,67
Kochi,Petrol,Manual,First,5,3.99,17.6,1496,88.7,8,toyota,etios,44
Coimbatore,Petrol,Manual,First,5,5.64,18.9,1197,82,5,hyundai,grand,36
Pune,Diesel,Manual,First,8,12,12.99,2494,100,6,toyota,innova,160
Kolkata,Diesel,Manual,First,5,0.7,16.8,1405,62,12,tata,indica,133
Kolkata,Diesel,Manual,First,5,7.55,25.83,1498,99,5,ford,figo,1
Pune,Petrol,Manual,Third,5,0.99,15.26,1150,74.9,13,chevrolet,aveo,59
Chennai,Petrol,Manual,First,5,6.2,16.95,1498,97.6,4,nissan,sunny,90
Kolkata,Petrol,Manual,First,5,4.4,19.1,1197,85.8,4,maruti,swift,18
Kolkata,Diesel,Manual,First,5,2.1,20,1399,68,8,ford,figo,60
Jaipur,Diesel,Manual,First,5,2.2,20.3,1248,75,9,fiat,grande,130
Coimbatore,Petrol,Manual,First,5,8.34,18.6,1197,81.86,2,hyundai,elite,32
Kolkata,Diesel,Manual,First,5,4.35,23.4,1248,74,6,maruti,swift,32
Hyderabad,Diesel,Manual,First,5,6.8,22.7,1498,89.84,6,ford,ecosport,62
Jaipur,Diesel,Manual,First,5,3.3,19.3,1248,73.9,10,maruti,swift,71
Kochi,Petrol,Manual,First,5,5.04,18.9,1197,82,4,hyundai,grand,19
Hyderabad,Diesel,Manual,First,5,5.7,22.07,1199,73.9,6,volkswagen,polo,74
Kochi,Diesel,Manual,First,7,8.48,18.49,1493,100,2,mahindra,tuv,55
Ahmedabad,Petrol,Manual,First,5,2.75,22.5,998,67.04,10,maruti,wagon,21
Pune,Diesel,Manual,First,7,8,24.52,1248,88.5,3,maruti,ertiga,121
Jaipur,Petrol,Manual,First,5,1.85,19.7,796,46.3,10,maruti,alto,73
Jaipur,Petrol,Automatic,First,5,3.85,20.51,998,67,5,maruti,wagon,34
Coimbatore,Petrol,Manual,First,7,4.74,15.1,1196,73,3,maruti,eeco,28
Kochi,Petrol,Manual,First,5,2.62,18.2,1061,64,9,maruti,zen,25
Chennai,Diesel,Manual,Second,5,2.4,21,1461,64.1,9,mahindra,verito,110
Delhi,Petrol,Manual,First,5,4.25,21.7,999,67,3,renault,kwid,15
Pune,Diesel,Manual,Second,5,2.7,28.4,1248,74,12,maruti,swift,150
Hyderabad,Petrol,Manual,First,5,2.99,20.63,1198,67,4,datsun,go,19
Chennai,Petrol,Manual,First,5,3.4,18.5,1197,80,9,hyundai,i20,37
Mumbai,Diesel,Manual,First,7,5.85,20.77,1248,88.8,8,maruti,ertiga,88
Jaipur,Petrol,Manual,First,5,4,18.9,1197,82,6,hyundai,grand,42
Jaipur,Diesel,Manual,First,5,2.9,21.1,1248,73.9,9,maruti,ritz,79
Kochi,Petrol,Manual,First,5,6.95,18.6,1197,81.83,4,hyundai,i20,28
Kolkata,Petrol,Manual,First,5,2.75,20.3,998,68.05,6,hyundai,eon,9
Pune,Diesel,Manual,First,5,5.1,22.9,1248,74,6,maruti,swift,75
Chennai,Petrol,Manual,First,5,6.75,18.6,1197,81.83,3,hyundai,i20,8
Mumbai,Petrol,Manual,First,5,3.69,18.5,1197,85.8,6,maruti,ritz,59
Hyderabad,Diesel,Manual,First,5,5.45,22.9,1248,74,7,maruti,swift,53
Kochi,Petrol,Manual,First,5,9.29,17.5,1199,88.7,2,honda,wrv,15
Chennai,Petrol,Automatic,Second,5,4,16.9,1197,81.86,5,hyundai,xcent,53
Kolkata,Petrol,Manual,First,5,2.9,18,1198,86.7,7,honda,amaze,40
Pune,Diesel,Manual,First,5,4.35,22.9,1248,74,8,maruti,swift,75
Coimbatore,Petrol,Automatic,First,5,5.23,22.5,998,67,3,maruti,wagon,37
Coimbatore,Petrol,Manual,First,5,6.01,18.9,1197,81.86,4,hyundai,grand,43
Hyderabad,Diesel,Manual,First,5,4.4,25.8,1498,98.6,6,honda,amaze,97
Delhi,Petrol,Manual,First,5,2.4,15.6,1196,70,9,ford,figo,65
Kochi,Petrol,Manual,First,5,5.71,17,1198,73.75,2,volkswagen,ameo,46
Kochi,Diesel,Manual,Second,5,5.49,22.7,1498,89.84,5,ford,ecosport,65
Pune,Petrol,Manual,Second,5,1.3,13,1343,90,16,honda,city,73
Kolkata,Petrol,Manual,First,5,5,18.9,1197,81.86,3,hyundai,grand,31
Pune,Diesel,Automatic,First,5,9,28.4,1248,73.75,3,maruti,dzire,41
Kochi,Diesel,Manual,First,5,5.22,22.9,1248,74,4,maruti,swift,38
Pune,Petrol,Manual,First,5,3.8,16.47,1198,73.9,8,volkswagen,polo,19
Coimbatore,Petrol,Manual,First,5,7.27,18.16,1197,78.9,1,toyota,etios,20
Mumbai,Petrol,Manual,First,5,5.1,22,1197,81.8,4,maruti,swift,23
Pune,Petrol,Manual,First,5,2.9,18.9,998,67.1,7,maruti,wagon,61
Kochi,Petrol,Manual,First,4,1.38,26,624,35,8,tata,nano,4
Hyderabad,Diesel,Manual,First,5,5.25,22.95,1248,74,3,tata,bolt,40
Kolkata,Petrol,Manual,First,5,1.95,21.1,814,55.2,7,hyundai,eon,36
Kochi,Diesel,Manual,First,7,8.31,12.99,2494,100,7,toyota,innova,62
Pune,Diesel,Manual,First,5,5.5,24.4,1120,71,5,hyundai,xcent,58
Mumbai,Petrol,Manual,First,5,2.75,17,1197,80,10,hyundai,i20,73
Hyderabad,Diesel,Manual,First,5,4.95,20,1399,68.05,5,ford,figo,36
Kochi,Petrol,Manual,First,5,6.27,18.6,1197,81.83,1,hyundai,i20,27
Kolkata,Petrol,Manual,First,5,3.5,18.9,1197,82,6,hyundai,grand,37
Kolkata,Petrol,Manual,First,5,4.45,17.5,1298,85.8,5,maruti,swift,27
Kolkata,Petrol,Manual,First,5,2.65,18.5,1197,80,8,hyundai,i20,37
Kolkata,Diesel,Manual,First,5,4.7,25.32,1198,77,3,mahindra,kuv,10
Coimbatore,Diesel,Manual,First,5,9.58,24.3,1248,88.5,3,maruti,vitara,71
Pune,Diesel,Manual,Second,5,7,22.54,1396,88.73,5,hyundai,i20,29
Jaipur,Petrol,Manual,Second,5,2.7,18.5,1197,80,9,hyundai,i20,82
Mumbai,Petrol,Manual,Second,5,2.5,19.4,1198,86.8,8,honda,brio,70
Hyderabad,Diesel,Manual,First,7,3.9,19.3,1461,84.8,7,nissan,evalia,166
Delhi,Petrol,Manual,First,5,3.95,16.47,1198,73.9,5,volkswagen,polo,58
Chennai,Petrol,Manual,Second,5,2.1,20.36,1197,78.9,10,hyundai,i10,77
Hyderabad,Petrol,Manual,Second,5,2,19.81,1086,68.05,13,hyundai,i10,70
Delhi,Diesel,Manual,First,7,5.35,20.77,1248,88.76,6,maruti,ertiga,79
Delhi,Diesel,Manual,First,5,3.8,25.8,1498,98.6,7,honda,amaze,90
Kochi,Petrol,Manual,First,5,5.53,18.9,1197,81.86,2,hyundai,grand,46
Pune,Petrol,Manual,Third,5,1.95,20.36,1197,78.9,11,hyundai,i10,68
Hyderabad,Diesel,Manual,First,5,8.2,28.4,1248,74,3,maruti,swift,2
Pune,Petrol,Manual,First,5,0.9,13,1343,90,21,honda,city,140
Mumbai,Petrol,Manual,Second,5,2.1,14.49,1399,92.7,9,chevrolet,aveo,57
Chennai,Petrol,Manual,Second,5,2,19.81,1086,68.05,12,hyundai,i10,85
Delhi,Diesel,Manual,First,5,3.7,24.4,1120,71,5,hyundai,xcent,54
Mumbai,Petrol,Automatic,First,5,3.8,23.1,998,67.04,6,maruti,celerio,53
Jaipur,Petrol,Manual,First,5,3.25,20.36,1197,78.9,6,hyundai,i10,60
Coimbatore,Diesel,Manual,First,5,5.53,19.87,1461,83.8,5,renault,duster,65
Kolkata,Petrol,Manual,First,5,5.1,18.9,1197,82,2,hyundai,grand,1
Pune,Petrol,Manual,Second,5,1.6,18,995,62,11,chevrolet,spark,44
Delhi,Diesel,Manual,First,5,3.6,23.2,1248,73.94,6,maruti,ritz,32
Kochi,Diesel,Manual,First,5,7.52,26,1498,98.6,4,honda,city,55
Mumbai,Petrol,Manual,First,7,2.9,15.1,1196,73,6,maruti,eeco,34
Delhi,Petrol,Manual,First,5,7.65,20.73,1373,91.1,3,maruti,ciaz,17
Delhi,Diesel,Manual,First,5,6.4,28.09,1248,88.5,4,maruti,ciaz,66
Kolkata,Petrol,Manual,First,5,4.25,19.1,1197,85.8,6,maruti,swift,48
Pune,Diesel,Manual,First,5,4.4,25,1396,69,3,tata,indica,8
Jaipur,Petrol,Manual,First,5,3.25,18.5,1197,82.85,8,hyundai,i20,100
Pune,Diesel,Manual,First,5,2.8,17.8,1399,68,8,ford,fiesta,78
Kolkata,Diesel,Manual,First,8,4.3,18.2,1248,73.74,5,chevrolet,enjoy,50
Chennai,Diesel,Manual,Third,5,1.55,17.8,1399,68,14,ford,fiesta,89
Kochi,Petrol,Manual,First,5,7.07,18.7,1199,88.7,3,honda,jazz,24
Delhi,Petrol,Manual,First,5,5.75,18.9,1197,81.86,2,hyundai,grand,9
Mumbai,Petrol,Manual,First,5,3.25,18.5,1197,85.8,8,maruti,ritz,29
Kolkata,Petrol,Manual,First,5,4.95,18.7,1199,88.7,4,honda,jazz,21
Delhi,Diesel,Manual,First,5,3.75,17.8,1248,75,6,maruti,swift,62
Kolkata,Petrol,Manual,First,5,1.97,21.1,814,55.2,6,hyundai,eon,26
Jaipur,Diesel,Manual,Second,5,1.4,20,1399,68,10,ford,figo,90
Coimbatore,Petrol,Manual,First,5,7.27,17,1198,73.75,2,volkswagen,ameo,35
Kolkata,Diesel,Manual,First,5,4,21.64,1461,84.8,7,renault,scala,40
Kolkata,Petrol,Manual,First,5,4.75,18.7,1199,88.7,5,honda,jazz,45
Delhi,Petrol,Manual,First,5,5.1,17,1197,80,5,hyundai,i20,42
Kolkata,Diesel,Manual,First,5,1.6,18.7,1896,66,18,skoda,octavia,69
Kochi,Petrol,Manual,First,5,9.96,20.73,1373,91.1,2,maruti,ciaz,15
Hyderabad,Diesel,Manual,Second,5,4.75,22.9,1248,74,7,maruti,swift,99
Bangalore,Diesel,Manual,Third,10,3.65,13.1,2446,75,18,toyota,qualis,63
Mumbai,Petrol,Manual,First,8,2.25,16.8,796,34.2,7,maruti,omni,11
Coimbatore,Diesel,Manual,First,5,7.48,27.3,1498,98.6,4,honda,jazz,45
Jaipur,Petrol,Manual,Second,,1.7,13,1493,100,15,honda,city,88
Mumbai,Petrol,Manual,First,5,3.85,19.1,1197,85.8,8,maruti,swift,88
Delhi,Diesel,Manual,First,5,5.75,28.4,1248,73.75,4,maruti,dzire,45
Kochi,Petrol,Manual,First,5,2.21,18.6,1199,79.4,8,chevrolet,beat,83
Kochi,Diesel,Manual,First,5,8.09,23,1498,98.96,3,ford,ecosport,78
Mumbai,Petrol,Automatic,First,5,2.6,19.2,1197,80,11,hyundai,i10,21
Kolkata,Petrol,Manual,First,5,2.45,20.36,1197,78.9,8,hyundai,i10,58
Mumbai,Diesel,Manual,First,5,8.99,23,1498,98.96,3,ford,ecosport,26
Jaipur,Diesel,Manual,First,5,8.2,28.4,1248,73.75,3,maruti,dzire,24
Coimbatore,Diesel,Manual,First,5,7.3,22.54,1396,88.73,4,hyundai,i20,44
Chennai,Petrol,Manual,First,5,1.59,19.7,796,46.3,12,maruti,alto,65
Delhi,Petrol,Manual,Second,5,3.15,20.36,1197,78.9,5,hyundai,i10,34
Hyderabad,Diesel,Manual,First,5,3,19.5,1199,75,10,skoda,fabia,66
Hyderabad,Diesel,Manual,First,5,7.75,27.3,1498,98.6,4,honda,jazz,43
Coimbatore,Diesel,Manual,First,5,5.79,22.9,1248,74,6,maruti,swift,83
Bangalore,Diesel,Manual,First,7,4.45,15.3,2956,83.8,6,tata,sumo,66
Delhi,Petrol,Manual,First,5,3.3,18.5,1197,82.85,8,hyundai,i20,54
Jaipur,Diesel,Manual,Second,5,1.75,20.4,1248,91.2,11,fiat,linea,80
Hyderabad,Diesel,Manual,First,5,3.75,21.9,1396,90,9,hyundai,i20,75
Kochi,Diesel,Manual,First,7,6.32,24.2,1498,98.6,5,honda,mobilio,50
Mumbai,Petrol,Manual,First,5,2.1,20.36,1197,78.9,10,hyundai,i10,62
Hyderabad,Diesel,Manual,First,5,9.3,24.3,1248,88.5,4,maruti,vitara,41
Hyderabad,Petrol,Manual,First,5,1.8,19.7,796,46.3,14,maruti,alto,71
Delhi,Diesel,Manual,First,5,4.74,22.9,1248,74,5,maruti,swift,51
Kochi,Petrol,Manual,First,5,5.43,18.9,1197,82,4,hyundai,grand,26
Kochi,Diesel,Manual,First,5,8.45,22.77,1498,98.59,3,ford,ecosport,30
Pune,Petrol,Manual,First,5,5,18.16,1196,86.8,4,ford,figo,54
Hyderabad,Petrol,Manual,First,5,4.7,19.1,1197,85.8,8,maruti,swift,65
Jaipur,Petrol,Manual,Second,5,1.51,18.9,1061,67,11,maruti,wagon,111
Mumbai,Petrol,Manual,First,5,5.95,20.73,1373,91.1,5,maruti,ciaz,35
Chennai,Petrol,Manual,First,5,3.4,23.1,998,67.04,6,maruti,celerio,41
Pune,Diesel,Manual,First,5,5.5,23.4,1248,74,2,maruti,swift,12
Hyderabad,Diesel,Manual,First,5,3.95,21.9,1396,90,8,hyundai,i20,71
Mumbai,Diesel,Manual,Second,5,4.25,28.4,1248,73.75,8,maruti,dzire,74
Hyderabad,Diesel,Manual,First,7,6.5,20.77,1248,88.76,8,maruti,ertiga,82
Bangalore,Petrol,Manual,First,5,2.95,15.6,1196,70,9,ford,figo,68
Coimbatore,Diesel,Manual,First,5,7.12,21.43,1364,86.79,7,toyota,corolla,63
Chennai,Diesel,Automatic,First,5,11.25,24.3,1248,88.5,2,maruti,vitara,3
Mumbai,Petrol,Manual,First,5,3.67,20.14,1197,81.86,6,hyundai,xcent,64
Pune,Petrol,Manual,First,5,2.3,15.7,1390,75,12,mahindra,renault,2
Pune,Diesel,Manual,First,5,2.2,18.7,1896,66,12,skoda,octavia,88
Bangalore,Diesel,Manual,First,5,1.99,13.8,1399,68,11,ford,ikon,75
Pune,Petrol,Manual,First,5,5,18.9,1197,82,4,hyundai,grand,25
Mumbai,Petrol,Manual,First,5,5.4,17,1198,73.75,3,volkswagen,ameo,12
Kolkata,Petrol,Manual,First,5,2.99,25.17,799,53.3,3,renault,kwid,25
Kochi,Petrol,Automatic,First,5,6.76,18.9,1197,81.86,2,hyundai,grand,5
Chennai,Petrol,Manual,Second,5,5.5,18.78,999,75,4,volkswagen,polo,42
Coimbatore,Diesel,Manual,First,5,5.99,25.2,1248,74,6,maruti,swift,44
Delhi,Diesel,Manual,First,5,2.59,21.64,1461,84.8,8,nissan,sunny,70
Pune,Diesel,Manual,First,5,8.5,28.09,1248,88.5,4,maruti,ciaz,50
Pune,Petrol,Manual,First,5,3.35,15.6,1196,70.02,6,ford,figo,21
Coimbatore,Petrol,Manual,First,7,3.75,15.1,1196,73,7,maruti,eeco,54
Jaipur,Petrol,Manual,Second,5,1.5,18.9,998,67.1,14,maruti,wagon,101
Chennai,Petrol,Manual,First,5,1.45,14,1061,64,15,maruti,wagon,66
Kolkata,Diesel,Manual,First,5,2.49,22.07,1199,73.9,9,volkswagen,polo,66
Hyderabad,Diesel,Manual,First,5,6.25,22.7,1498,89.84,6,ford,ecosport,85
